Cout Minimum;Cout Moyen; Cout Maximum
0;12;30
0;14;30
3;15;30
2;18;40
6;20;40
3;21;40
5;23;40
9;23;41
8;24;41
6;26;41
8;26;41
5;26;41
6;26;41
7;26;44
7;27;46
12;30;46
9;29;46
0;30;48
9;32;48
11;33;48
11;33;48
6;32;52
9;32;52
9;33;52
8;35;52
11;35;52
10;35;52
8;35;52
14;36;52
12;35;52
14;36;52
10;37;52
9;36;52
9;36;52
7;37;52
5;36;52
10;37;52
12;38;52
7;37;52
7;38;53
17;38;53
16;38;53
10;39;53
9;39;53
14;39;53
9;38;53
5;38;53
12;40;53
11;40;53
6;40;53
12;40;53
2;42;55
10;41;55
13;40;55
13;40;55
5;40;57
10;41;57
8;41;57
13;40;57
11;41;57
14;42;57
12;41;57
7;42;57
15;42;57
15;42;57
15;42;57
15;44;58
11;42;58
11;42;58
17;43;58
15;43;58
12;43;58
13;44;58
18;45;58
15;44;58
14;43;58
13;44;58
11;44;58
14;43;58
14;44;58
14;44;58
10;44;58
11;45;58
12;44;58
18;45;58
13;44;58
9;43;58
8;43;59
10;45;59
18;45;65
10;45;65
8;43;65
11;44;65
9;45;65
11;44;65
10;46;65
17;48;65
16;47;65
12;45;65
10;47;65
17;46;65
11;46;65
15;46;65
11;46;65
9;47;65
11;47;65
10;49;65
16;50;65
12;50;65
10;49;65
15;50;65
7;50;65
6;49;65
15;50;65
9;50;65
14;49;65
20;51;65
19;50;65
12;48;65
7;50;65
16;50;65
13;51;65
21;52;65
16;51;65
11;50;65
15;49;65
11;50;65
20;51;65
20;51;65
20;50;65
22;50;65
17;50;65
13;50;65
17;50;65
14;50;65
12;49;65
22;50;65
12;50;65
9;48;65
10;49;66
10;48;66
11;49;66
17;49;66
18;50;66
15;50;66
15;50;66
23;51;66
9;51;66
13;49;66
11;47;66
8;48;66
11;49;66
18;50;66
11;50;66
12;49;66
19;50;66
11;49;66
18;51;66
19;50;66
18;50;66
14;49;66
10;50;66
15;50;66
15;50;66
17;51;66
16;51;66
19;50;66
12;50;66
17;51;66
19;50;66
14;52;66
11;50;66
9;50;66
18;51;66
10;51;66
17;50;66
11;48;66
16;50;66
14;50;66
16;51;66
14;50;66
16;51;66
15;51;66
13;51;66
15;50;66
18;51;66
13;51;66
17;51;66
16;50;66
10;51;66
15;52;66
9;50;66
11;51;66
11;50;66
11;50;66
17;51;66
17;51;66
18;51;66
8;51;66
19;50;66
12;50;66
13;50;66
16;50;66
10;49;66
14;49;66
14;50;66
14;50;66
9;50;66
15;50;66
15;50;66
12;49;66
17;49;66
15;50;66
18;51;66
14;50;66
14;51;66
15;51;66
19;49;66
16;50;66
13;50;66
12;51;66
15;48;66
16;49;66
14;50;66
8;50;66
14;48;66
19;52;66
20;51;66
14;49;66
10;51;66
20;50;66
15;49;66
9;49;66
10;52;66
18;52;66
12;50;66
8;51;66
18;51;66
12;50;66
18;51;66
18;51;66
13;50;66
15;49;66
15;51;66
20;53;66
14;51;66
11;51;66
16;50;66
13;48;66
9;48;66
20;51;66
12;50;66
16;50;66
11;50;66
8;51;66
11;51;66
15;51;66
15;51;66
15;50;66
17;51;66
14;50;66
20;51;66
18;51;66
19;51;66
15;50;66
6;50;66
14;50;66
10;48;66
10;48;66
10;49;66
8;48;66
19;50;66
10;51;66
18;52;66
10;50;66
11;50;66
13;50;66
13;50;66
12;49;66
12;48;66
12;49;66
11;50;66
7;50;66
10;49;66
12;48;66
11;51;66
19;52;66
14;50;66
12;49;66
15;51;66
11;50;66
17;51;66
18;51;66
22;51;66
19;52;66
15;52;66
12;50;66
10;50;66
12;48;66
14;50;66
